trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
50.81546402,15.67484283,Xblitz Tango 4K_42190014,0,20240705-00000,2024-07-05T08:00:00.000Z,2024-07-05T05:00:00.000Z,2024-07-05T05:00:00.000Z,40:F0:DA:7D:FE:04,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81553268,15.67516232,HUAWEI nova 8i,4,20240703-00000,2024-07-03T10:00:00.000Z,2024-07-08T06:00:00.000Z,2024-07-08T06:00:00.000Z,42:7A:11:C4:4B:A2,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.783741,15.72296715,Orange_Swiatlowod_C420,2,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,44:05:3F:C2:C4:24,,infra,,2,0,?,?,?,True,11,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,51,58-540
50.78009033,15.77744007,T-Mobile_Swiatlowod_8253,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,44:05:3F:C7:EB:A4,,infra,,3,0,?,?,?,False,100,0,wpa3,PL,województwo dolnośląskie,Władysława Sikorskiego,,189,58-540
50.8155899,15.67510509,70mai_A500_900d,0,20240712-00000,2024-07-09T10:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,44:27:F3:18:90:0D,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.8156929,15.67514133,70mai_Pro Plus+_5b8c,1,20240708-00000,2024-07-08T18:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,44:27:F3:7A:5B:8C,,infra,,2,0,?,?,?,True,1,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.80075836,15.83049583,70mai_Pro Plus+_642a,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,44:27:F3:7F:64:2A,,infra,,2,0,?,?,?,True,11,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,,58-530
50.8045845,15.76646996,70mai_A510_6139,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,44:27:F3:91:61:39,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Rondo Ratowników Górskich,Miłków,,58-535
50.79121017,15.80570507,HUAWEI-B535-24F9,2,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,44:55:C4:37:24:FE,,infra,,2,0,?,?,?,True,36,0,wpa2,PL,województwo dolnośląskie,Karpacka,,1,58-530
50.79108047,15.80611992,,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,44:55:C4:37:25:00,,infra,,2,0,?,?,?,True,36,0,wpa2,PL,województwo dolnośląskie,Karpacka,,1,58-530
